"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YHR156C",28.8792707513658,-0.166466104564511,0.311167640492966,0.546930987617507,0.655164265442439
"YHR157W",12.0894093843197,-0.549783577137305,0.48085627979064,0.125690184962603,0.211790813935473
"YHR158C",113.936436781895,0.55517140094771,0.317285430003589,0.0473476663290377,0.0955705522966332
"YHR159W",50.8033584654788,0.514564716933461,0.258226303790441,0.0305061628363285,0.0668853625336667
"YHR160C",41.7400131831141,0.435347922419433,0.27955101170293,0.0864879871504516,0.156838684611158
"YHR161C",151.701770232346,0.440358826299823,0.185185481348002,0.0131814010232668,0.0335959827453421
"YHR162W",566.100016745067,0.480306445200138,0.203749214245251,0.0131424776212639,0.0335121144106312
"YHR163W",84.614131701447,-0.96847935963965,0.310953585820542,0.000426605252711946,0.00186627231135336
"YHR164C",96.2148418114723,0.562000428908155,0.231353766896621,0.00944617463237241,0.0255615872340534
"YHR165C",307.374147602092,-0.409655296733713,0.199434400107566,0.0311368528682718,0.068027121860889
"YHR166C",44.4390466070869,-0.13331586261725,0.251799711576582,0.56776038385464,0.673739096033771
"YHR167W",18.0284742433685,-0.0330349934025036,0.371298710115943,0.915759552336075,0.943109804792677
"YHR168W",29.8832521833409,-0.278215375618972,0.299415900135778,0.299748301153289,0.419527089500544
"YHR169W",31.4572341826628,-0.222515523395249,0.285423640390793,0.389328980273425,0.512086228422934
"YHR170W",60.9469663837281,-0.324992268839615,0.277997131138496,0.198933450920238,0.304273657834333
"YHR171W",60.9760204128334,-0.127405636656299,0.269643805329431,0.605953200310023,0.706021450540589
"YHR172W",20.389562694629,-0.398476031667778,0.351577384385358,0.186173363670404,0.28888254730579
"YHR174W",706.287384125929,-1.90844452128665,0.218903833915758,3.36077250189803e-20,2.28245634915489e-18
"YHR175W",55.6420325118698,-1.64258311074659,0.342661366503395,3.97674630709873e-08,4.50132117565708e-07
"YHR175W-A",14.5357018531194,0.176255928345717,0.399525076872705,0.589010414508402,0.69187913908401
"YHR176W",138.655175836041,2.2155942530548,0.244421634853978,7.44133596341848e-22,5.60010810544291e-20
"YHR177W",17.053921103087,0.21460561440315,0.344942621826572,0.470814522369549,0.585350893516358
"YHR178W",78.5279873922613,-0.970330144746937,0.277146945164829,0.00011046608933102,0.000578725918611899
"YHR179W",657.355206688222,-1.74613558026719,0.194281680306448,4.67075434314122e-21,3.33479883807096e-19
"YHR180W",23.039496745972,-6.38670364356046,1.35728553003388,7.21605628822369e-09,9.52280034813217e-08
"YHR181W",59.9480561983943,-0.428731383345044,0.251214960512017,0.0652660663065053,0.124905278763074
"YHR182W",39.6345909651906,-0.147802389475727,0.289338116359135,0.571690375920708,0.677392277340941
"YHR183W",689.341077580765,-1.54445453017395,0.218176799074967,5.04420189754809e-14,1.57815507682277e-12
"YHR186C",115.093268824778,-0.951369939734735,0.236483229205273,1.50253177900165e-05,9.69594377434554e-05
"YHR187W",41.8270472776335,-0.149008408392564,0.261148510079739,0.535610065024344,0.645760609910674
"YHR188C",70.0224716053132,0.18159036979264,0.213949277393852,0.370079600381857,0.492562235307386
"YHR189W",5.98988003852493,-0.194182219830109,0.540105773302631,0.591893908265302,0.694095004238675
"YHR190W",260.984598510096,-0.0460403356882059,0.184591551812858,0.795144648513115,0.856014024274026
"YHR191C",26.9244684716686,0.308980079198467,0.312616380123719,0.265014739576411,0.381854355679439
"YHR192W",35.4171864832085,0.0478928238437122,0.281387822478037,0.851402913184681,0.898004322637403
"YHR193C",336.259281709703,0.647599765288933,0.151078845999326,1.02996300410026e-05,6.90236338126875e-05
"YHR194W",56.9547883077721,0.0984075108470007,0.276021346016534,0.695846259082171,0.781441382703894
"YHR195W",109.921280424637,0.0889721610616224,0.198350163573268,0.638403093621875,0.735014849778834
"YHR196W",71.0078205209255,0.582173955500838,0.281089967874462,0.0223165616279413,0.0516156324366824
"YHR197W",33.7870981496248,-0.271088912526197,0.285310546030924,0.294056827885761,0.412598255100983
"YHR198C",110.913957924235,0.168330747506279,0.194054113367459,0.36438911659813,0.48663860679496
"YHR199C",155.372672855659,-0.505018118014143,0.272993966616423,0.0425479308546349,0.0879871618750322
"YHR200W",145.209304615698,0.992715144985193,0.226353468629119,2.69945764273135e-06,2.13238008686112e-05
"YHR201C",59.8303605872461,0.00287662865090777,0.245604513778167,0.989955416647314,0.993702544215734
"YHR202W",91.3803635065016,-0.601676169020522,0.277119513776458,0.0168895790783107,0.0411092945310806
"YHR203C",376.086541200481,-1.06933078052028,0.254928682247659,4.91174793539119e-06,3.58970134543222e-05
"YHR204W",50.1570892846575,-0.238405990737052,0.281330896499588,0.350804277773948,0.473489834940895
"YHR205W",314.039787081744,0.164614843183658,0.208974300990091,0.406702067917914,0.527585328729295
"YHR206W",91.631196384763,-0.521195917905232,0.275957940400692,0.0379762626682965,0.0800794421808949
"YHR207C",53.5169210310219,-0.0616330563993318,0.252244688581034,0.791994891242289,0.853765268009262
"YHR208W",179.060463985586,0.111196255276929,0.246301915765617,0.627310337204663,0.724640379152203
"YHR209W",33.9127588316782,-0.588072119339462,0.325977509731695,0.0394423376723601,0.0825147928239569
"YHR210C",9.41114787248437,0.889399656965171,0.523912408356552,0.0189400931247631,0.0451640744199096
"YHR211W",54.7074756725508,-0.27988440079888,0.341140709824905,0.343226078844025,0.465520222377587
"YHR213W-A",9.44135832886495,1.55752689721571,0.691455407047531,0.000571838669803615,0.00239441319709499
"YHR215W",66.7722870551642,-1.51846101297597,0.301480286988734,1.75870528882547e-08,2.16686498970554e-07
"YHR216W",51.1233663093822,-0.834075131064965,0.351615592776227,0.00561396471637601,0.0164143317745069
"YHR219W",388.547447484554,1.72571652383397,0.385722672506786,1.41294176888755e-07,1.45986506696378e-06
